date,preco_cafe,cambio_brl,geada_risco_Machado,geada_risco_Manhuacu,geada_risco_Patrocinio,geada_risco_Varginha,graus_frio_Machado,graus_frio_Manhuacu,graus_frio_Patrocinio,graus_frio_Varginha,precip_mm_sum_Machado,precip_mm_sum_Manhuacu,precip_mm_sum_Patrocinio,precip_mm_sum_Varginha,pressao_mB_mean_Machado,pressao_mB_mean_Manhuacu,pressao_mB_mean_Patrocinio,pressao_mB_mean_Varginha,radiacao_kJm2_sum_Machado,radiacao_kJm2_sum_Manhuacu,radiacao_kJm2_sum_Patrocinio,radiacao_kJm2_sum_Varginha,temp_ar_C_mean_Machado,temp_ar_C_mean_Manhuacu,temp_ar_C_mean_Patrocinio,temp_ar_C_mean_Varginha,temp_max_C_max_Machado,temp_max_C_max_Manhuacu,temp_max_C_max_Patrocinio,temp_max_C_max_Varginha,temp_min_C_min_Machado,temp_min_C_min_Manhuacu,temp_min_C_min_Patrocinio,temp_min_C_min_Varginha,umidade_pct_mean_Machado,umidade_pct_mean_Manhuacu,umidade_pct_mean_Patrocinio,umidade_pct_mean_Varginha,vento_rajada_ms_max_Machado,vento_rajada_ms_max_Manhuacu,vento_rajada_ms_max_Patrocinio,vento_rajada_ms_max_Varginha,vento_vel_ms_mean_Machado,vento_vel_ms_mean_Manhuacu,vento_vel_ms_mean_Patrocinio,vento_vel_ms_mean_Varginha
2018-12-31,101.8499984741211,3.874200105667114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,15.399999999999999,39.4,907.0916666666666,924.3333333333333,907.7270833333334,910.0895833333333,38287.7,56387.899999999994,45492.8,49875.5,22.608333333333334,22.90833333333333,21.427083333333336,23.099999999999994,28.8,29.7,28.1,30.1,18.8,18.2,16.4,18.6,82.54166666666666,78.0,87.4375,77.0,10.6,8.6,11.6,8.95,1.2229166666666669,2.0145833333333334,1.38125,1.7374999999999998
2019-01-02,99.5,3.8798999786376953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,15.399999999999999,39.4,907.0916666666666,924.3333333333333,907.7270833333334,910.0895833333333,38287.7,56387.899999999994,45492.8,49875.5,22.608333333333334,22.90833333333333,21.427083333333336,23.099999999999994,28.8,29.7,28.1,30.1,18.8,18.2,16.4,18.6,82.54166666666666,78.0,87.4375,77.0,10.6,8.6,11.6,8.95,1.2229166666666669,2.0145833333333334,1.38125,1.7374999999999998
2019-01-03,102.1500015258789,3.78629994392395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,2.2,906.3083333333334,922.8208333333332,906.6916666666666,909.2708333333334,16261.9,36873.6,23640.9,20253.4,22.21666666666667,24.195833333333336,23.2625,22.866666666666664,29.4,31.0,31.3,30.3,19.4,19.1,16.9,19.8,86.58333333333333,69.875,74.91666666666667,80.20833333333333,15.3,11.7,8.9,11.6,1.7166666666666668,1.7291666666666667,1.225,1.8916666666666664
2019-01-04,101.5999984741211,3.7551000118255615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.4,3.6,4.2,11.4,906.3583333333332,922.6458333333334,907.1583333333332,909.4041666666668,11001.2,29384.7,12761.3,10765.3,20.7,23.191666666666663,21.575,20.7125,26.4,29.7,25.8,25.4,18.9,18.8,19.4,19.2,92.875,75.66666666666667,83.375,91.29166666666669,8.5,10.3,8.3,8.5,2.0875,2.270833333333333,0.6333333333333333,1.3625
2019-01-07,102.75,3.661200046539306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6000000000000005,4.0,10.399999999999999,3.6,906.3722222222223,923.3791666666666,906.7930555555555,909.1555555555556,65802.20000000001,91981.2,61442.9,33843.399999999994,22.718055555555555,23.162499999999998,22.055555555555554,21.14027777777778,30.5,31.4,30.9,29.0,18.4,16.0,15.6,18.0,78.625,71.80555555555556,80.16666666666667,83.83888888888889,8.0,10.066666666666666,7.933333333333333,5.933333333333334,1.5194444444444442,2.1222222222222222,1.0875000000000001,1.0230555555555556
2019-01-08,105.0500030517578,3.734100103378296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,907.6,924.6666666666666,907.6166666666668,908.799007936508,25578.3,31853.4,23547.3,0.0,25.09583333333333,22.370833333333334,22.7875,19.90793650793651,31.5,28.3,32.1,21.88611111111111,20.2,16.4,15.9,18.558333333333334,65.375,73.625,75.45833333333333,87.32738095238095,10.9,9.3,6.0,3.4222222222222225,1.7333333333333334,2.2666666666666666,0.7625000000000001,0.384126984126984
2019-01-09,105.3000030517578,3.712399959564209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.3666666666668,924.0166666666668,906.3166666666666,908.798015873016,27196.2,37165.8,28885.9,0.0,24.95833333333333,21.95833333333333,22.641666666666666,20.015873015873016,30.1,27.3,29.9,22.072222222222223,20.0,16.3,17.3,18.616666666666667,65.5,68.125,67.41666666666667,87.0547619047619,9.5,12.9,9.4,3.644444444444445,1.8458333333333328,3.020833333333333,0.95,0.4282539682539682
2019-01-10,104.25,3.680000066757202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.6666666666666,923.95,906.475,908.7970238095238,31055.4,33925.2,24133.2,0.0,24.5625,22.4375,22.0875,20.123809523809523,30.1,28.4,30.2,22.258333333333333,19.2,17.9,15.0,18.675,57.333333333333336,69.25,70.83333333333333,86.78214285714286,7.9,10.6,7.4,3.8666666666666663,1.7541666666666669,2.4875000000000003,0.8083333333333335,0.4723809523809523
2019-01-11,103.8499984741211,3.707900047302246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.4916666666668,924.2791666666668,907.8666666666668,908.7960317460316,26975.6,29595.6,19341.2,0.0,24.691666666666663,23.391666666666666,22.320833333333336,20.23174603174603,31.4,29.5,30.7,22.444444444444443,18.5,18.1,17.8,18.73333333333333,61.04166666666666,71.95833333333333,76.0,86.5095238095238,7.6,7.4,7.4,4.088888888888889,1.7833333333333332,1.6916666666666669,0.7208333333333333,0.5165079365079365
2019-01-14,102.75,3.659600019454956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.6,0.0,0.0,907.2722222222222,924.0902777777777,907.2069444444445,908.7940476190475,78380.0,79385.59999999999,62939.9,0.0,23.638888888888886,23.138888888888886,22.756944444444443,20.447619047619053,31.5,29.5,31.5,23.002777777777776,18.7,17.9,16.0,18.791666666666668,70.30555555555556,71.59722222222223,74.65277777777779,85.96428571428571,12.033333333333331,7.1000000000000005,7.3,4.533333333333334,1.8680555555555554,1.7666666666666666,0.6625,0.6047619047619047
