data,geada_risco_Machado,geada_risco_Manhuacu,geada_risco_Patrocinio,geada_risco_Varginha,graus_frio_Machado,graus_frio_Manhuacu,graus_frio_Patrocinio,graus_frio_Varginha,precip_mm_sum_Machado,precip_mm_sum_Manhuacu,precip_mm_sum_Patrocinio,precip_mm_sum_Varginha,pressao_mB_mean_Machado,pressao_mB_mean_Manhuacu,pressao_mB_mean_Patrocinio,pressao_mB_mean_Varginha,radiacao_kJm2_sum_Machado,radiacao_kJm2_sum_Manhuacu,radiacao_kJm2_sum_Patrocinio,radiacao_kJm2_sum_Varginha,temp_ar_C_mean_Machado,temp_ar_C_mean_Manhuacu,temp_ar_C_mean_Patrocinio,temp_ar_C_mean_Varginha,temp_max_C_max_Machado,temp_max_C_max_Manhuacu,temp_max_C_max_Patrocinio,temp_max_C_max_Varginha,temp_min_C_min_Machado,temp_min_C_min_Manhuacu,temp_min_C_min_Patrocinio,temp_min_C_min_Varginha,umidade_pct_mean_Machado,umidade_pct_mean_Manhuacu,umidade_pct_mean_Patrocinio,umidade_pct_mean_Varginha,vento_rajada_ms_max_Machado,vento_rajada_ms_max_Manhuacu,vento_rajada_ms_max_Patrocinio,vento_rajada_ms_max_Varginha,vento_vel_ms_mean_Machado,vento_vel_ms_mean_Manhuacu,vento_vel_ms_mean_Patrocinio,vento_vel_ms_mean_Varginha
2019-01-01,0,0,0,0,0.0,0.0,0.0,0.0,6.4,0.0,15.2,39.4,906.675,924.1708333333332,907.3416666666668,909.7541666666666,19101.1,27229.3,20306.8,24181.2,22.25,22.704166666666666,21.03333333333333,22.741666666666664,28.8,28.4,27.8,29.4,18.8,18.2,18.5,18.8,82.875,77.83333333333333,90.54166666666669,78.16666666666667,11.2,9.1,15.1,8.5,1.6958333333333335,2.2666666666666666,1.6916666666666669,1.8041666666666665
2019-01-02,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,907.5083333333332,924.4958333333334,908.1125,910.425,19186.6,29158.6,25186.0,25694.3,22.96666666666667,23.1125,21.820833333333336,23.45833333333333,28.8,29.7,28.1,30.1,19.3,18.3,16.4,18.6,82.20833333333333,78.16666666666667,84.33333333333333,75.83333333333333,10.0,8.1,8.1,9.4,0.75,1.7625,1.0708333333333333,1.6708333333333334
2019-01-03,0,0,0,0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,2.2,906.3083333333334,922.8208333333332,906.6916666666666,909.2708333333334,16261.9,36873.6,23640.9,20253.4,22.21666666666667,24.195833333333336,23.2625,22.866666666666664,29.4,31.0,31.3,30.3,19.4,19.1,16.9,19.8,86.58333333333333,69.875,74.91666666666667,80.20833333333333,15.3,11.7,8.9,11.6,1.7166666666666668,1.7291666666666667,1.225,1.8916666666666664
2019-01-04,0,0,0,0,0.0,0.0,0.0,0.0,60.4,3.6,4.2,11.4,906.3583333333332,922.6458333333334,907.1583333333332,909.4041666666668,11001.2,29384.7,12761.3,10765.3,20.7,23.191666666666663,21.575,20.7125,26.4,29.7,25.8,25.4,18.9,18.8,19.4,19.2,92.875,75.66666666666667,83.375,91.29166666666669,8.5,10.3,8.3,8.5,2.0875,2.270833333333333,0.6333333333333333,1.3625
2019-01-05,0,0,0,0,0.0,0.0,0.0,0.0,5.4,4.0,10.2,3.6,906.4375,922.5041666666666,907.1916666666666,909.525,10092.9,38321.9,11044.8,10552.3,20.1,23.22083333333333,20.841666666666665,20.466666666666665,24.4,31.4,26.2,23.6,18.7,16.0,18.9,19.0,93.125,68.95833333333333,89.875,90.625,7.9,12.4,8.1,6.6,1.2375,2.066666666666667,0.6666666666666666,1.2833333333333334
2019-01-06,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,906.1583333333332,923.1916666666666,906.4791666666666,909.1416666666668,26244.9,31098.5,21331.9,23291.1,23.070833333333336,23.84583333333333,22.025,23.15416666666667,29.3,30.2,29.0,29.0,18.4,18.4,17.7,18.0,76.5,69.5,80.16666666666667,73.29166666666667,7.7,10.2,6.6,8.0,1.4125,2.058333333333333,0.9583333333333334,1.4458333333333335
2019-01-07,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.5208333333334,924.4416666666666,906.7083333333334,908.8,29464.4,22560.8,29066.2,0.0,24.98333333333333,22.42083333333333,23.3,19.8,30.5,26.3,30.9,21.7,19.2,19.3,15.6,18.5,66.25,76.95833333333333,70.45833333333333,87.6,8.4,7.6,9.1,3.2,1.9083333333333328,2.2416666666666667,1.6375,0.3399999999999999
2019-01-08,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,907.6,924.6666666666666,907.6166666666668,908.7990079365079,25578.3,31853.4,23547.3,0.0,25.09583333333333,22.370833333333334,22.7875,19.90793650793651,31.5,28.3,32.1,21.88611111111111,20.2,16.4,15.9,18.558333333333334,65.375,73.625,75.45833333333333,87.32738095238095,10.9,9.3,6.0,3.4222222222222225,1.7333333333333334,2.2666666666666666,0.7625000000000001,0.38412698412698404
2019-01-09,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.3666666666668,924.0166666666668,906.3166666666666,908.7980158730159,27196.2,37165.8,28885.9,0.0,24.95833333333333,21.95833333333333,22.641666666666666,20.015873015873016,30.1,27.3,29.9,22.072222222222223,20.0,16.3,17.3,18.616666666666667,65.5,68.125,67.41666666666667,87.0547619047619,9.5,12.9,9.4,3.644444444444445,1.8458333333333328,3.020833333333333,0.95,0.4282539682539682
2019-01-10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.6666666666666,923.95,906.475,908.7970238095238,31055.4,33925.2,24133.2,0.0,24.5625,22.4375,22.0875,20.123809523809523,30.1,28.4,30.2,22.258333333333333,19.2,17.9,15.0,18.675,57.333333333333336,69.25,70.83333333333333,86.78214285714286,7.9,10.6,7.4,3.8666666666666667,1.7541666666666669,2.4875000000000003,0.8083333333333335,0.47238095238095235
