data,cidade,codigo_wmo,temp_ar_C_mean,temp_max_C_max,temp_min_C_min,temp_orvalho_C_mean,precip_mm_sum,radiacao_kJm2_sum,umidade_pct_mean,umidade_max_pct_max,umidade_min_pct_min,pressao_mB_mean,vento_vel_ms_mean,vento_vel_ms_max,vento_rajada_ms_max,geada
2018-12-31,Machado,A567,21.53333333333333,23.7,20.9,18.0,0.0,0.0,80.33333333333333,84.0,69.0,905.1666666666666,3.4,4.1,7.6,0
2019-01-01,Machado,A567,22.25,28.8,18.8,19.008333333333333,6.4,19101.1,82.875,96.0,57.0,906.6750000000001,1.6958333333333335,5.8,11.2,0
2019-01-02,Machado,A567,22.96666666666667,28.8,19.3,19.5625,0.0,19186.6,82.20833333333333,97.0,55.0,907.5083333333333,0.75,4.8,10.0,0
2019-01-03,Machado,A567,22.21666666666667,29.4,19.4,19.7625,4.4,16261.9,86.58333333333333,97.0,54.0,906.3083333333334,1.7166666666666668,5.8,15.3,0
2019-01-04,Machado,A567,20.7,26.4,18.9,19.454166666666666,60.4,11001.2,92.875,98.0,71.0,906.3583333333332,2.0875,4.6,8.5,0
2019-01-05,Machado,A567,20.099999999999998,24.4,18.7,18.920833333333334,5.4,10092.9,93.125,98.0,72.0,906.4375,1.2375,3.9,7.9,0
2019-01-06,Machado,A567,23.070833333333336,29.3,18.4,18.3125,0.2,26244.9,76.5,98.0,48.0,906.1583333333333,1.4124999999999999,4.3,7.7,0
2019-01-07,Machado,A567,24.983333333333334,30.5,19.2,17.820833333333333,0.0,29464.4,66.25,92.0,42.0,906.5208333333334,1.9083333333333332,4.3,8.4,0
2019-01-08,Machado,A567,25.09583333333333,31.5,20.2,17.95,0.0,25578.3,65.375,87.0,44.0,907.6,1.7333333333333334,7.3,10.9,0
2019-01-09,Machado,A567,24.958333333333332,30.1,20.0,17.724999999999998,0.0,27196.2,65.5,87.0,45.0,906.3666666666667,1.8458333333333332,5.0,9.5,0
2019-01-10,Machado,A567,24.5625,30.1,19.2,15.116666666666667,0.0,31055.4,57.333333333333336,82.0,37.0,906.6666666666666,1.7541666666666667,4.7,7.9,0
2019-01-11,Machado,A567,24.691666666666666,31.4,18.5,16.3625,0.0,26975.6,61.041666666666664,86.0,39.0,907.4916666666667,1.7833333333333332,4.1,7.6,0
2019-01-12,Machado,A567,23.15833333333333,31.5,18.7,17.554166666666667,1.8,24108.899999999998,72.29166666666667,92.0,43.0,907.1083333333332,2.375,5.5,16.4,0
2019-01-13,Machado,A567,23.3,30.0,18.8,17.7,0.0,26787.7,71.95833333333333,90.0,49.0,907.5500000000001,1.7958333333333334,5.7,12.7,0
2019-01-14,Machado,A567,24.458333333333332,31.1,18.7,17.604166666666668,0.0,27483.4,66.66666666666667,88.0,46.0,907.1583333333333,1.4333333333333333,3.4,7.0,0
2019-01-15,Machado,A567,24.733333333333334,31.7,19.4,18.129166666666666,0.0,28019.4,68.375,89.0,42.0,907.3375,2.370833333333333,4.6,10.2,0
2019-01-16,Machado,A567,23.854166666666668,31.7,19.0,17.595833333333335,10.200000000000001,24505.600000000002,69.625,94.0,39.0,908.1,2.7583333333333333,7.2,12.9,0
2019-01-17,Machado,A567,23.5625,30.5,18.1,18.033333333333335,7.0,28977.4,73.54166666666667,98.0,40.0,907.7875,2.0541666666666667,5.2,9.6,0
2019-01-18,Machado,A567,25.004166666666666,32.1,18.8,18.245833333333334,15.6,29962.2,68.16666666666667,97.0,43.0,906.3416666666667,2.4541666666666666,7.1,14.1,0
2019-01-19,Machado,A567,23.787499999999998,30.9,18.9,19.224999999999998,14.600000000000001,26112.7,77.83333333333333,98.0,46.0,905.5958333333333,1.9124999999999999,5.8,14.0,0
2019-01-20,Machado,A567,23.191666666666666,30.7,19.5,18.358333333333334,0.0,21109.7,74.79166666666667,92.0,54.0,906.4208333333332,1.6541666666666668,5.5,12.8,0
2019-01-21,Machado,A567,23.720833333333335,30.1,19.8,19.683333333333334,0.0,17850.2,78.70833333333333,94.0,57.0,907.4958333333334,1.3041666666666667,3.9,10.1,0
2019-01-22,Machado,A567,23.25,31.5,19.1,19.279166666666665,0.7999999999999999,20441.2,79.41666666666667,96.0,48.0,907.8791666666666,1.7583333333333335,6.8,10.0,0
2019-01-23,Machado,A567,24.733333333333334,30.9,19.5,18.8625,0.0,27499.0,71.625,93.0,45.0,907.2708333333334,1.6916666666666667,4.3,9.6,0
2019-01-24,Machado,A567,24.254166666666666,30.7,19.3,19.224999999999998,0.4,22847.2,75.41666666666667,96.0,47.0,906.6291666666666,2.225,5.0,8.4,0
2019-01-25,Machado,A567,22.675,30.5,17.3,17.441666666666666,11.2,19369.9,74.625,97.0,45.0,906.6625,2.954166666666666,8.0,19.5,0
2019-01-26,Machado,A567,18.754166666666666,22.5,16.8,17.087500000000002,3.8,9247.3,90.25,98.0,74.0,907.9250000000001,1.7583333333333335,4.4,7.1,0
